,전 산업,TOTAL,"820,658"
A,"농업, 임업 및 어업","Agriculture, forestry and fishing",17
B,광업,Mining and quarrying,23
C,제조업,Manufacturing,"62,211"
D,"전기, 가스, 증기 및 수도사업","Electricity, gas, steam and water supply",137
E,"하수 · 폐기물 처리, 원료재생 및 환경복원업","Sewerage, waste management, materials recovery and remediation activities",463
F,건설업,Construction,"22,695"
G,도매 및 소매업,Wholesale and retail trade,"234,494"
H,운수업,Transportation,"93,642"
I,숙박 및 음식점업,Accommodation and food service activities,"126,785"
J,"출판, 영상, 방송통신 및 정보서비스업",Information and communications,"23,903"
K,금융 및 보험업,Financial and insurance activities,"10,849"
L,부동산업 및 임대업,Real estate activities and renting and leasing,"38,571"
M,"전문, 과학 및 기술 서비스업","Professional, scientific and technical activities","40,627"
N,사업시설관리 및 사업지원 서비스업,Business facilities management and business support services,"13,977"
O,"공공행정, 국방 및 사회보장 행정",Public administration and denfence ; compulsory social security,"1,285"
P,교육 서비스업,Education,"33,612"
Q,보건업 및 사회복지 서비스업,Human health and social work activities,"26,528"
R,"예술, 스포츠 및 여가관련 서비스업","Arts, sports and recreation related services","20,547"
S,"협회 및 단체, 수리  및 기타 개인 서비스업","Membership organizations, repair and other personal services","70,292"
,,,
